Ticket_id,Team_1,Team_2,Venue,Stage,Importance,Seat_Type,Days_until_match,Base_Price,Tickets_Sold,Year
1,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.48,2022
2,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.42,2022
3,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.42,2022
4,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.3,2022
5,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.4,2022
6,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.36,2022
7,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.31,2022
8,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.31,2022
9,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.23,2022
10,England,Iran,Khalifa International,Group Stage,low,Bronze,3,259,0.27,2022
11,England,Iran,Khalifa International,Group Stage,low,Bronze,5,259,0.34,2022
12,England,Iran,Khalifa International,Group Stage,low,Bronze,7,259,0.46,2022
13,England,Iran,Khalifa International,Group Stage,low,Gold,3,619,0.33,2022
14,England,Iran,Khalifa International,Group Stage,low,Gold,5,619,0.47,2022
15,England,Iran,Khalifa International,Group Stage,low,Gold,7,619,0.29,2022
16,England,Iran,Khalifa International,Group Stage,low,Diamond,3,825,0.49,2022
17,England,Iran,Khalifa International,Group Stage,low,Diamond,5,825,0.25,2022
18,England,Iran,Khalifa International,Group Stage,low,Diamond,7,825,0.49,2022
19,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.47,2022
20,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.32,2022
21,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.42,2022
22,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.27,2022
23,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.22,2022
24,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.28,2022
25,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.42,2022
26,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.41,2022
27,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.47,2022
28,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.4,2022
29,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.2,2022
30,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.24,2022
31,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.27,2022
32,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.46,2022
33,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.47,2022
34,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022
35,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.38,2022
36,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.22,2022
37,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,3,259,0.21,2022
38,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,5,259,0.42,2022
39,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,7,259,0.45,2022
40,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,3,619,0.25,2022
41,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,5,619,0.42,2022
42,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,7,619,0.3,2022
43,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,3,825,0.38,2022
