Ticket_id,Team_1,Team_2,Venue,Stage,Importance,Seat_Type,Days_until_match,Base_Price,Tickets_Sold,Year,Seat_Multiplier,Base_Price_Base,Importance_Factor,Days_Factor,Sales_Factor,Base_Price_Reconstructed,Importance_Num,Stage_Num,Venue_Num,Team1_Num,Team2_Num
1,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.48,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,1,28,12
2,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.42,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,1,28,12
3,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.42,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,1,28,12
4,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.3,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,1,28,12
5,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.4,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,1,28,12
6,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.36,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,1,28,12
7,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.31,2022,3.0,275.0,0.0,0.2,0.1,,3,1,1,28,12
8,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.31,2022,3.0,275.0,0.0,0.1,0.1,,3,1,1,28,12
9,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.23,2022,3.0,275.0,0.0,0.0,0.1,,3,1,1,28,12
10,England,Iran,Khalifa International,Group Stage,low,Bronze,3,259,0.27,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,5,12,20
11,England,Iran,Khalifa International,Group Stage,low,Bronze,5,259,0.34,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,5,12,20
12,England,Iran,Khalifa International,Group Stage,low,Bronze,7,259,0.46,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,5,12,20
